Service_Name,Section Title,ToS_Detail,ToS_Summary
Facebook,Limits on liability,"While Meta strives to provide the best possible products, it does not guarantee that its services will always be safe, secure, or error-free. Meta disclaims all warranties to the extent permitted by law, including implied warranties of merchantability and fitness for a particular purpose. Liability for issues such as lost profits, revenues, or data, or consequential damages, is limited under these terms","Meta limits its liability for service issues and disclaims warranties, emphasizing the provision of services 'as is' and limiting financial liability."
Facebook,Disputes,"Disputes arising out of or relating to the Terms or Meta Products shall be resolved in the U.S. District Court for the Northern District of California or a state court located in San Mateo County, with California laws governing these Terms. Users agree to submit to the jurisdiction of these courts for litigation purposes. Meta may also initiate legal actions in the country where users reside under certain conditions.","Specifies the legal jurisdiction and governing laws for disputes related to Meta's Terms or Products, with a focus on courts in California"
Facebook,Other,"These Terms constitute the entire agreement between users and Meta Platforms, Inc. regarding the use of its Products, superseding any prior agreements. Supplemental terms may apply to certain services, and in case of conflict, supplemental terms will govern. These Terms do not confer any third-party beneficiary rights, and all rights not expressly granted are reserved by Meta.","Summarizes the comprehensiveness of these Terms as the full agreement between users and Meta, noting the precedence of supplemental terms and reservation of rights not explicitly granted."
Facebook,Other terms and policies that may apply to you,"Meta outlines additional guidelines and terms that users may be subject to, including Community Standards, Commercial Terms, Payment Terms, and Policies for specific services like advertising, commerce, and the use of Meta's brand resources. These documents provide detailed rules and standards for using Meta Products, engaging in commerce, advertising, and more.","Highlights additional specific terms and policies that govern the use of Meta Products, advertising, commerce, and other interactions within Meta's ecosystem"
Facebook,Community Standards,"Meta enforces Community Standards that outline what is and isn’t allowed on Facebook to ensure a safe and respectful environment. These standards address harmful conduct, prohibited content, and the integrity of the community. Users are required to adhere to these guidelines, and violations may result in content removal, account restrictions, or account termination.","Highlights the importance of adhering to Community Standards to maintain a safe and respectful environment on Facebook, with potential consequences for violations."
Facebook,Commercial Terms,"These terms apply to users who engage in commercial activities on Facebook, such as advertising, selling goods or services, or using Facebook for business purposes. They outline the obligations and restrictions for commercial use, including advertising standards, sales policies, and the use of Facebook Pages and Groups for business","Specifies the terms and conditions for users engaging in commercial activities on Facebook, detailing standards and policies for advertising and business use"
Facebook,Community Payment Terms,"Meta provides specific terms regarding payments made within the Meta Products, including purchasing goods or services and making donations. These payment terms cover transaction processing, payment methods, refunds, and security measures to protect users' financial information.","Outlines the terms and policies related to making payments on Facebook, including details on transaction processing and financial security measures."
Facebook,Commerce Policies,"These policies govern transactions and commerce conducted on Facebook, Instagram, and other Meta platforms. They include guidelines on what items can be sold, prohibited products, and the conduct of sales. The policies aim to ensure that commerce activities are conducted safely and transparently on Meta Products.","Details policies for conducting commerce on Meta platforms, including guidelines on allowed and prohibited items for sale"
Facebook,Music Guidelines,"Meta's Music Guidelines provide rules for posting and sharing content that contains music on Meta Products. These guidelines address copyright and licensing issues related to music content, ensuring that users respect intellectual property rights and comply with licensing agreements.","Explains the rules for sharing music content on Meta Products, focusing on copyright and licensing compliance"
Facebook,Advertising Policies,"Meta's Advertising Policies set the standards for ads displayed across its Products. The policies cover content restrictions, targeting practices, and transparency requirements. Advertisers must ensure their ads are appropriate, truthful, and comply with all applicable laws and regulations.","Defines the standards and requirements for advertising on Meta Products, including content appropriateness and legal compliance"
Facebook,Self-Serve Ad Terms,"These terms apply to advertisers who use Meta's self-serve advertising platforms to create and manage their ad campaigns. The terms cover aspects such as ad placement, billing, data usage, and the responsibilities of advertisers in creating content that adheres to Meta's Advertising Policies","Covers the terms of use for Meta's self-serve advertising platform, detailing the responsibilities and requirements for advertisers."
Facebook,"Facebook Pages, Groups, and Events Policy","This policy governs the creation and administration of Facebook Pages, Groups, and Events, outlining the responsibilities of administrators and users. It includes guidelines on managing these platforms in a way that fosters positive interactions, respects privacy, and prevents abuse. The policy also details the requirements for content posted within these spaces, ensuring it aligns with Facebook's Community Standards.","Provides guidelines for managing Facebook Pages, Groups, and Events, emphasizing positive interaction, privacy respect, and alignment with Community Standards."
Facebook,Meta Platform Policy,"The Meta Platform Policy outlines the rules for developers using Facebook's APIs, SDKs, and other development tools. It specifies the allowed and prohibited uses of Meta's platform, aiming to ensure that apps and services built on it provide value to users, protect their privacy, and enhance the overall ecosystem. This policy also addresses data usage, security requirements, and compliance with legal standards.","Details the rules for developers on Meta's platform, focusing on user value, privacy protection, and ecosystem enhancement."
Facebook,Developer Payment Terms,"These terms apply to developers who monetize their applications or services through Facebook's platform. It covers the processing of transactions, payment distribution, and compliance with applicable tax laws. The terms aim to ensure a transparent and efficient payment system for developers while protecting the interests of users and maintaining the integrity of the platform.","Outlines payment processing and compliance terms for developers monetizing through Facebook, ensuring transparency and efficiency"
Facebook,Meta Brand Resources,"This guideline provides information on how to correctly use Meta's trademarks, logos, and other brand resources. It's designed to help users, developers, and partners accurately reference Meta's products while respecting trademark laws and Meta's brand identity. The guidelines specify the dos and don’ts of logo usage, brand colors, and the portrayal of Meta's products in various media.","Guides the proper use of Meta's brand resources, including trademarks and logos, ensuring accurate representation and legal compliance."
Facebook,Recommendations Guidelines,"Meta's Recommendations Guidelines offer standards for suggesting content on its platforms. These guidelines help ensure that recommendations are relevant, safe, and aligned with user interests. They are designed to prevent the promotion of harmful or misleading content, fostering a trustworthy environment for content discovery across Meta Products.","Sets standards for content recommendations on Meta platforms, aiming to ensure relevance, safety, and alignment with user interests."
Facebook,Live Policies,"The Live Policies apply to content broadcast via Facebook Live, outlining what is allowed and what is prohibited during live streaming. These policies are in place to protect the community from harmful content, respect privacy rights, and ensure a positive and safe viewing experience. Violations of the Live Policies may result in content removal, account restrictions, or other enforcement actions.","Regulates content on Facebook Live, ensuring it's free from harm, respects privacy, and provides a safe viewing experience."
YouTube,Introduction & Overview of YouTube's Service,"IntroductionThank you for using the YouTube platform and the products, services and features we make available to you as part of the platform (collectively, the “Service”). Our ServiceThe Service allows you to discover, watch and share videos and other content, provides a forum for people to connect, inform, and inspire others across the globe, and acts as a distribution platform for original content creators and advertisers large and small. We provide lots of information about our products and how to use them in our Help Center. Among other things, you can find out about YouTube Kids, the YouTube Partner Program and YouTube Paid Memberships and Purchases (where available).You can also read all about enjoying content on other devices like your television, your games console, or Google Home. Your Service ProviderThe entity providing the Service is Google LLC, a company operating under the laws of Delaware, located at 1600 Amphitheatre Parkway, Mountain View, CA 94043 (referred to as “YouTube”, “we”, “us”, or “our”). References to YouTube’s “Affiliates” in these terms means the other companies within the Alphabet Inc. corporate group (now or in the future). Applicable Terms Your use of the Service is subject to these terms, the YouTube Community Guidelines and the Policy, Safety and Copyright Policies which may be updated from time to time (together, this ""Agreement""). Your Agreement with us will also include the Advertising on YouTube Policies if you provide advertising or sponsorships to the Service or incorporate paid promotions in your content. Any other links or references provided in these terms are for informational use only and are not part of the Agreement. Please read this Agreement carefully and make sure you understand it. If you do not understand the Agreement, or do not accept any part of it, then you may not use the Service.","YouTube, a service by Google LLC, enables video sharing and community building, supported by comprehensive user guides. The service is governed by specific terms and policies, including community guidelines and advertising regulations, which users must agree to."
YouTube,Who may use the Service?,"Age Requirements You must be at least 13 years old to use the Service; however, children of all ages may use the Service and YouTube Kids (where available) if enabled by a parent or legal guardian. Permission by Parent or Guardian If you are under 18, you represent that you have your parent or guardian’s permission to use the Service. Please have them read this Agreement with you. If you are a parent or legal guardian of a user under the age of 18, by allowing your child to use the Service, you are subject to the terms of this Agreement and responsible for your child’s activity on the Service. You can find tools and resources to help you manage your family’s experience on YouTube (including how to enable a child under the age of 13 to use the Service and YouTube Kids) in our Help Center and through Google’s Family Link. Businesses If you are using the Service on behalf of a company or organisation, you represent that you have authority to act on behalf of that entity, and that such entity accepts this Agreement.","YouTube sets a minimum age requirement of 13 years for general use, with provisions for younger users through parental consent and YouTube Kids. Parents or guardians are responsible for minors' use of the platform. Business users must have authorization to accept Terms on behalf of their organization."
YouTube,Your Use of the Service,"Content on the Service The content on the Service includes videos, audio (for example music and other sounds), graphics, photos, text (such as comments and scripts), branding (including trade names, trademarks, service marks, or logos), interactive features, software, metrics, and other materials whether provided by you, YouTube or a third-party (collectively, ""Content”). Content is the responsibility of the person or entity that provides it to the Service. YouTube is under no obligation to host or serve Content. If you see any Content you believe does not comply with this Agreement, including by violating the Community Guidelines or the law, you can report it to us. Google Accounts and YouTube Channels You can use parts of the Service, such as browsing and searching for Content, without having a Google account. However, you do need a Google account to use some features. With a Google account, you may be able to like videos, subscribe to channels, create your own YouTube channel, and more. You can follow these instructions to create a Google account. Creating a YouTube channel will give you access to additional features and functions, such as uploading videos, making comments or creating playlists (where available). Here are some details about how to create your own YouTube channel. To protect your Google account, keep your password confidential. You should not reuse your Google account password on third-party applications. Learn more about keeping your Google account secure, including what to do if you learn of any unauthorized use of your password or Google account. Your Information Our Privacy Policy explains how we treat your personal data and protect your privacy when you use the Service. The YouTube Kids Privacy Notice provides additional information about our privacy practices that are specific to YouTube Kids. We will process any audio or audiovisual content uploaded by you to the Service in accordance with the YouTube Data Processing Terms, except in cases where you uploaded such content for personal purposes or household activities. Learn More. Permissions and Restrictions You may access and use the Service as made available to you, as long as you comply with this Agreement and applicable law. You may view or listen to Content for your personal, non-commercial use. You may also show YouTube videos through the embeddable YouTube player. The following restrictions apply to your use of the Service. You are not allowed to: access, reproduce, download, distribute, transmit, broadcast, display, sell, license, alter, modify or otherwise use any part of the Service or any Content except: (a) as expressly authorized by the Service; or (b) with prior written permission from YouTube and, if applicable, the respective rights holders; circumvent, disable, fraudulently engage with, or otherwise interfere with any part of the Service (or attempt to do any of these things), including security-related features or features that (a) prevent or restrict the copying or other use of Content or (b) limit the use of the Service or Content; access the Service using any automated means (such as robots, botnets or scrapers) except (a) in the case of public search engines, in accordance with YouTube’s robots.txt file; or (b) with YouTube’s prior written permission; collect or harvest any information that might identify a person (for example, usernames or faces), unless permitted by that person or allowed under section (3) above; use the Service to distribute unsolicited promotional or commercial content or other unwanted or mass solicitations; cause or encourage any inaccurate measurements of genuine user engagement with the Service, including by paying people or providing them with incentives to increase a video’s views, likes, or dislikes, or to increase a channel’s subscribers, or otherwise manipulate metrics in any manner; misuse any reporting, flagging, complaint, dispute, or appeals process, including by making groundless, vexatious, or frivolous submissions; run contests on or through the Service that do not comply with YouTube’s contest policies and guidelines; use the Service to view or listen to Content other than for personal, non-commercial use (for example, you may not publicly screen videos or stream music from the Service); or use the Service to (a) sell any advertising, sponsorships, or promotions placed on, around, or within the Service or Content, other than those allowed in the Advertising on YouTube policies (such as compliant product placements); or (b) sell advertising, sponsorships, or promotions on any page of any website or application that only contains Content from the Service or where Content from the Service is the primary basis for such sales (for example, selling ads on a webpage where YouTube videos are the main draw for users visiting the webpage). Reservation Using the Service does not give you ownership of or rights to any aspect of the Service, including user names or any other Content posted by others or YouTube. Develop, Improve and Update the Service YouTube is constantly changing and improving the Service. As part of this continual evolution, we may make modifications or changes (to all or part of the Service) such as adding or removing features and functionalities, offering new digital content or services or discontinuing old ones. We may also need to alter or discontinue the Service, or any part of it, in order to make performance or security improvements, make changes to comply with law, or prevent illegal activities on or abuse of our systems. These changes may affect all users, some users or even an individual user. When the Service requires or includes downloadable software (such as the YouTube Studio application), that software may update automatically on your device once a new version or feature is available, subject to your device settings. If we make material changes that negatively impact your use of the Service, we’ll provide you with reasonable advance notice, except in urgent situations such as preventing abuse, responding to legal requirements, or addressing security and operability issues. We’ll also provide you with an opportunity to export your content from your Google Account using Google Takeout, subject to applicable law and policies.","YouTube provides a dynamic platform for sharing a variety of content, requiring a Google account for enhanced interaction. User content and activity are protected under comprehensive privacy policies. Service use is governed by specific permissions and restrictions to safeguard against misuse and unauthorized commercial use. YouTube commits to continuous service development, with provisions for user notification and content management in the face of significant changes"
YouTube,Your Content and Conduct,"Uploading Content If you have a YouTube channel, you may be able to upload Content to the Service. You may use your Content to promote your business or artistic enterprise. If you choose to upload Content, you must not submit to the Service any Content that does not comply with this Agreement (including the YouTube Community Guidelines) or the law. For example, the Content you submit must not include third-party intellectual property (such as copyrighted material) unless you have permission from that party or are otherwise legally entitled to do so. You are legally responsible for the Content you submit to the Service. We may use automated systems that analyze your Content to help detect infringement and abuse, such as spam, malware, and illegal content. Rights you Grant You retain ownership rights in your Content. However, we do require you to grant certain rights to YouTube and other users of the Service, as described below. License to YouTube By providing Content to the Service, you grant to YouTube a worldwide, non-exclusive, royalty-free, sublicensable and transferable license to use that Content (including to reproduce, distribute, prepare derivative works, display and perform it) in connection with the Service and YouTube’s (and its successors' and Affiliates') business, including for the purpose of promoting and redistributing part or all of the Service. License to Other Users You also grant each other user of the Service a worldwide, non-exclusive, royalty-free license to access your Content through the Service, and to use that Content, including to reproduce, distribute, prepare derivative works, display, and perform it, only as enabled by a feature of the Service (such as video playback or embeds). For clarity, this license does not grant any rights or permissions for a user to make use of your Content independent of the Service. Duration of License The licenses granted by you continue for a commercially reasonable period of time after you remove or delete your Content from the Service. You understand and agree, however, that YouTube may retain, but not display, distribute, or perform, server copies of your videos that have been removed or deleted. Right to Monetize You grant to YouTube the right to monetize your Content on the Service (and such monetization may include displaying ads on or within Content or charging users a fee for access). This Agreement does not entitle you to any payments. Starting November 18, 2020, any payments you may be entitled to receive from YouTube under any other agreement between you and YouTube (including for example payments under the YouTube Partner Program, Channel memberships or Super Chat) will be treated as royalties. If required by law, Google will withhold taxes from such payments. Removing Your Content You may remove your Content from the Service at any time. You also have the option to make a copy of your Content before removing it. You must remove your Content if you no longer have the rights required by these terms. Removal of Content By YouTube If any of your Content (1) is in breach of this Agreement or (2) may cause harm to YouTube, our users, or third parties, we reserve the right to remove or take down some or all of such Content in our discretion. We will notify you with the reason for our action unless we reasonably believe that to do so: (a) would breach the law or the direction of a legal enforcement authority or would otherwise risk legal liability for YouTube or our Affiliates; (b) would compromise an investigation or the integrity or operation of the Service; or (c) would cause harm to any user, other third party, YouTube or our Affiliates. You can learn more about reporting and enforcement, including how to appeal on the Troubleshooting page of our Help Center","YouTube allows content uploads under specific agreements, with creators retaining ownership but granting YouTube and its users certain rights, including monetization. YouTube can retain, remove, or monetize content, providing notifications for content removal under certain conditions. Creators can remove their content, and some financial aspects are treated as royalties"
YouTube,Community Guidelines Strikes,"YouTube operates a system of “strikes” in respect of Content that violates the YouTube Community Guidelines. Each strike comes with varying restrictions and may result in the permanent removal of your channel from YouTube. A full description of how a strike affects your channel is available on the Community Guidelines Strikes Basics page. If you believe that a strike has been issued in error, you may appeal here. If your channel has been restricted due to a strike, you must not use another channel to circumvent these restrictions. Violation of this prohibition is a material breach of this Agreement and Google reserves the right to terminate your Google account or your access to all or part of the Service. Copyright Protection We provide information to help copyright holders manage their intellectual property online in our YouTube Copyright Center. If you believe your copyright has been infringed on the Service, please send us a notice. We respond to notices of alleged copyright infringement according to the process in our YouTube Copyright Center, where you can also find information about how to resolve a copyright strike. YouTube's policies provide for the termination, in appropriate circumstances, of repeat infringers’ access to the Service.","YouTube utilizes a strike system to manage guideline violations, offering support for copyright issues through its Copyright Center. Circumventing channel restrictions via alternate channels constitutes a breach of the Agreement, with YouTube maintaining policies to terminate repeat infringers"
YouTube,Account Suspension & Termination,"Terminations by You You may stop using the Service at any time. Follow these instructions to delete the Service from your Google Account, which involves closing your YouTube channel and removing your data. You also have the option to download a copy of your data first. Terminations and Suspensions by YouTube YouTube reserves the right to suspend or terminate your Google account or your access to all or part of the Service if (a) you materially or repeatedly breach this Agreement; (b) we are required to do so to comply with a legal requirement or a court order; or (c) we reasonably believe that there has been conduct that creates (or could create) liability or harm to any user, other third party, YouTube or our Affiliates. Notice for Termination or Suspension We will notify you with the reason for termination or suspension by YouTube unless we reasonably believe that to do so: (a) would violate the law or the direction of a legal enforcement authority; (b) would compromise an investigation; (c) would compromise the integrity, operation or security of the Service; or (d) would cause harm to any user, other third party, YouTube or our Affiliates. Effect of Account Suspension or Termination If your Google account is terminated or your access to the Service is restricted, you may continue using certain aspects of the Service (such as viewing only) without an account, and this Agreement will continue to apply to such use. If you believe that the termination or suspension has been made in error, you can appeal using this form.","YouTube allows users to terminate their account voluntarily while retaining the right to suspend or terminate accounts for breaches or legal reasons. Notifications are given for such actions, with provisions for appeal and limited access to the Service post-termination"
YouTube,About Software in the Service,"Downloadable Software When the Service requires or includes downloadable software (such as the YouTube Studio application), unless that software is governed by additional terms which provide a license, YouTube gives you a personal, worldwide, royalty-free, non-assignable and non-exclusive license to use the software provided to you by YouTube as part of the Service. This license is for the sole purpose of enabling you to use and enjoy the benefit of the Service as provided by YouTube, in the manner permitted by this Agreement. You are not allowed to copy, modify, distribute, sell, or lease any part of the software, or to reverse-engineer or attempt to extract the source code of that software, unless laws prohibit these restrictions or you have YouTube’s written permission. Open Source Some software used in our Service may be offered under an open source license that we make available to you. There may be provisions in an open source license that expressly override some of these terms, so please be sure to read those licenses. ","YouTube provides a limited license for using its downloadable software, emphasizing compliance with this Agreement. Open source software used by YouTube may have different terms, necessitating careful review of those licenses by the users."
